NAICS code,Subsector and industry,Total (trillion Btu),Total unit flag (m = million),Net electricity (million kilowatthours),Residual fuel oil (million barrels),Distillate fuel oil (million barrels),Natural gas (billion cubic feet),Natural gas unit flag (m = million),HGL natural gasoline (million barrels),Coal (million short tons),Coke and breeze (million short tons),Hydrogen (trillion Btu),Other unit flag (m = million),Other (trillion Btu),Net steam unit flag (m = million),Net steam and byproduct gases (trillion Btu)
,,Total United States,,,,,,,,,,,,,,
   324199,   All Other Petroleum and Coal Products Manufacturing,2,,108,0,*,2,,*,0,0,,,0,,0
325,Chemicals,184,,19071,*,*,94,,1,0,0,,,19,,2
   325110,   Petrochemicals,3,,248,0,*,0,,1,0,0,,,0,,0
   325120,   Industrial Gases,34,,9773,0,*,1,,*,0,0,,,1,,1
   325180,   Other Basic Inorganic Chemical Manufacturing,16,,1450,0,*,10,,*,0,0,,,*,,0
   325193,   Ethyl Alcohol ,3,,78,0,0,3,,*,0,0,,,0,,0
   325194,"   Cyclic Crudes, Intermediate and Gum and Wood Chemicals",*,,5,0,0,*,,*,0,0,,,0,,0
   325199,   All Other Basic Organic Chemical Manufacturing,49,,1450,*,*,42,,*,0,0,,,1,,1
   325211,   Plastics Materials and Resins,13,,1170,0,*,7,,*,0,0,,,1,,0
   325212,   Synthetic Rubber,*,,16,0,0,*,,*,0,0,,,0,,0
   325220,   Artificial and Synthetic Fibers and Filaments,*,,29,0,0,*,,*,0,0,,,*,,0
   325311,   Nitrogenous Fertilizers,*,,6,0,*,*,,*,0,0,,,0,,0
   325312,   Phosphatic Fertilizers,*,,3,0,*,0,,*,0,0,,,0,,0
 3254, Pharmaceuticals and Medicines,30,,3096,0,*,18,,*,0,0,,,*,,0
   325412,   Pharmaceutical Preparation,13,,1376,0,*,8,,*,0,0,,,*,,0
   325992,"   Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",4,,333,0,*,1,,*,0,0,,,2,,0
326,Plastics and Rubber Products,67,,7315,*,*,35,,*,0,0,,,Q,,0
327,Nonmetallic Mineral Products,154,,3632,*,*,51,,*,1,0,,,Q,,0
   327120 ,   Clay Building Material and Refractories,5,,178,0,*,2,,*,*,0,,,*,,0
   327211,   Flat Glass,6,,251,0,0,5,,*,0,0,,,0,,0
   327212,   Other Pressed and Blown Glass and Glassware,4,,349,0,*,3,,*,0,0,,,*,,0
   327213,   Glass Containers,7,,466,0,*,5,,*,0,0,,,*,,0
   327215,   Glass Products from Purchased Glass,Q,,258,0,*,1,,*,0,0,,,Q,,0
   327310,   Cements,27,,1014,0,*,16,,*,*,0,,,3,,0
   327410,   Lime,9,,78,0,*,3,,0,*,0,,,0,,0
   327420,   Gypsum,11,,298,*,*,9,,*,0,0,,,0,,0
   327993,   Mineral Wool,3,,137,0,*,2,,*,0,0,,,*,,0
331,Primary Metals,149,,10425,0,*,66,,*,6,*,,,3,,83
   331110,   Iron and Steel Mills and Ferroalloys,92,,4238,0,*,36,,*,6,*,,,*,,83
 3312, Steel Products from Purchased Steel,10,,834,0,*,6,,*,0,*,,,*,,0
 3313, Alumina and Aluminum Production and Processing,25,,2859,0,*,12,,*,0,0,,,2,,0
   331314,   Secondary Smelting and Alloying of Aluminum,1,,16,0,0,1,,0,0,0,,,0,,0
   331315,"   Aluminum Sheet, Plate and Foils",10,,517,0,*,7,,*,0,0,,,*,,0
   331318,"   Other Aluminum Rolling, Drawing and Extruding",D,,D,0,*,3,,*,0,0,,,*,,0
 3314, Nonferrous Metal (except Aluminum) Production and Processing,15,,1617,0,*,8,,*,0,*,,,*,,0
   331410,   Nonferrous Metal (except Aluminum) Smelting and Refining,3,,302,0,*,2,,*,0,*,,,0,,0
 3315, Foundries,7,,876,0,*,3,,*,*,0,,,*,,0
   331511,   Iron Foundries,2,,393,0,*,1,,*,*,0,,,*,,0
   331523,   Nonferrous Metal Die-Casting Foundries,1,,77,0,0,*,,*,0,0,,,*,,0
   331524,"   Aluminum Foundries, except Die-Casting",1,,74,0,*,*,,*,0,0,,,*,,0
332,Fabricated Metal Products,63,,6857,*,*,37,,*,0,0,,,*,,0
333,Machinery,15,,1860,0,*,Q,,*,0,0,,,*,,0
334,Computer and Electronic Products,23,,4454,*,*,8,,*,0,0,,,*,,0
   334413,   Semiconductors and Related Devices,14,,2463,*,*,5,,*,0,0,,,*,,0
335,"Electrical Equipment, Appliances, and Components",20,,2090,0,*,4,,*,0,*,,,*,,0
336,Transportation Equipment,28,,3520,0,*,14,,*,0,0,,,1,,0
   336110,   Automobile and Light Duty Motor Vehicle Manufacturing,*,,*,0,0,*,,0,0,0,,,*,,0
 3364, Aerospace Product and Parts,10,,966,0,*,5,,*,0,0,,,1,,0
   336411,   Aircraft,2,,199,0,*,1,,*,0,0,,,*,,0
337,Furniture and Related Products,3,,348,0,*,1,,*,0,0,,,*,,0
339,Miscellaneous,7,,753,0,*,4,,*,0,0,,,*,,0
,Total,1402,m,81779,1,2,536,m,4,7,1,0,m,475,,86
,,Midwest Census Region,,,,,,,,,,,,,,
311,Food,587,,35807,*,1,315,,Q,4,*,,,40,,0
 3112, Grain and Oilseed Milling,282,,13243,*,*,130,,*,3,0,,,35,,0
   311221,   Wet Corn Milling and Starch Manufacturing,161,,7594,0,*,63,,*,2,0,,,29,,0
  31131,  Sugar Manufacturing,37,,621,*,*,9,,*,1,*,,,*,,0
 3114, Fruit and Vegetable Preserving and Specialty Food ,31,,2689,0,*,20,,*,0,0,,,*,,0
 3115, Dairy Product Manufacturing,66,,5327,*,*,40,,Q,0,0,,,Q,,0
 3116, Animal Slaughtering and Processing,105,,8801,*,*,69,,*,0,0,,,1,,0
312,Beverage and Tobacco Products,22,,2815,0,*,12,,*,0,0,,,*,,0
 3121, Beverages,22,,2813,0,*,12,,*,0,0,,,*,,0
 3122, Tobacco ,*,,2,0,0,*,,*,0,0,,,0,,0
313,Textile Mills,2,,216,0,*,1,,*,0,0,,,0,,0
314,Textile Product Mills,3,,323,0,0,2,,*,0,0,,,0,,0
315,Apparel,*,,60,0,0,*,,0,0,0,,,0,,0
316,Leather and Allied Products,2,,101,0,*,Q,,*,0,0,,,*,,0
321,Wood Products,45,,2920,0,*,14,,*,0,0,,,17,,0
   321113,   Sawmills,6,,429,0,*,2,,*,0,0,,,2,,0
 3212," Veneer, Plywood, and Engineered Wood Product Manufacturing",18,,899,0,*,8,,*,0,0,,,6,,0
   321219,   Reconstituted Wood Products,14,,551,0,*,6,,*,0,0,,,6,,0
 3219, Other Wood Products,19,,1524,0,*,4,,*,0,0,,,Q,,0
322,Paper,248,,11337,*,*,113,,*,*,0,,,86,,0
   322110,   Pulp Mills,D,,266,0,*,3,,*,0,0,,,D,,0
   322120,   Paper Mills,109,,3392,*,*,42,,*,*,0,,,51,,0
   322130,   Paperboard Mills,61,,3366,*,*,36,,*,0,0,,,12,,0
323,Printing and Related Support,24,,3860,0,0,10,,*,0,0,,,*,,0
324,Petroleum and Coal Products,1055,m,10274,*,*,190,m,1,6,*,5,m,674,,1
   324110,   Petroleum Refineriesl,579,m,9929,0,*,166,m,1,0,0,5,m,364,,0
   324121,   Asphalt Paving Mixture and Block,241,,283,*,*,16,,*,0,0,,,222,,0
   324122,   Asphalt Shingle and Coating Materials,92,,255,0,*,3,,*,0,0,,,87,,0
   324191,   Petroleum Lubricating Oil and Grease Manufacturing,2,,205,0,*,2,,*,0,0,,,*,,0
   324199,   All Other Petroleum and Coal Products Manufacturing,141,,-398,0,*,3,,*,6,*,,,1,,1
325,Chemicals,1277,,42607,*,*,755,,40,6,0,,,90,,6
   325110,   Petrochemicals,1,,52,0,0,*,,*,0,0,,,*,,0
   325120,   Industrial Gases,28,,6755,0,0,5,,*,0,0,,,0,,*
   325180,   Other Basic Inorganic Chemical Manufacturing,36,,2158,*,*,18,,*,0,0,,,6,,0
   325193,   Ethyl Alcohol ,463,,10225,0,*,348,,*,1,0,,,47,,0
   325194,"   Cyclic Crudes, Intermediate and Gum and Wood Chemicals",7,,265,0,*,2,,*,*,0,,,3,,0
   325199,   All Other Basic Organic Chemical Manufacturing,47,,3385,0,*,20,,1,0,0,,,11,,0
   325211,   Plastics Materials and Resins,177,,3299,0,*,37,,38,0,0,,,5,,*
   325212,   Synthetic Rubber,1,,79,0,0,*,,*,0,0,,,0,,0
   325220,   Artificial and Synthetic Fibers and Filaments,1,,60,0,0,*,,*,0,0,,,0,,0
   325311,   Nitrogenous Fertilizers,177,,D,0,*,149,,*,0,0,,,D,,0
   325312,   Phosphatic Fertilizers,113,,1268,*,*,2,,*,5,0,,,*,,6
 3254, Pharmaceuticals and Medicines,54,,5066,0,*,33,,*,*,0,,,2,,*
   325412,   Pharmaceutical Preparation,28,,2116,0,*,19,,*,0,0,,,Q,,0
   325992,"   Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",*,,35,0,*,*,,*,0,0,,,0,,0
326,Plastics and Rubber Products,136,,29794,*,*,33,,*,0,0,,,*,,0
327,Nonmetallic Mineral Products,294,,14116,0,*,101,,*,3,*,,,Q,,0
   327120 ,   Clay Building Material and Refractories,7,,240,0,*,6,,*,0,0,,,*,,0
   327211,   Flat Glass,16,,494,0,*,14,,*,0,0,,,0,,0
   327212,   Other Pressed and Blown Glass and Glassware,8,,387,0,*,6,,*,0,0,,,*,,0
   327213,   Glass Containers,15,,987,0,*,11,,*,0,0,,,*,,0
   327215,   Glass Products from Purchased Glass,8,,1487,0,*,3,,*,0,0,,,*,,0
   327310,   Cements,82,,3316,0,*,12,,*,1,*,,,29,,0
   327410,   Lime,46,,466,0,*,11,,*,1,*,,,6,,0
   327420,   Gypsum,12,,268,0,*,10,,*,0,0,,,*,,0
   327993,   Mineral Wool,23,,2024,0,*,15,,*,0,*,,,*,,0
331,Primary Metals,760,,35041,*,*,337,,1,4,8,,,12,,14
   331110,   Iron and Steel Mills and Ferroalloys,605,,20399,*,*,249,,*,4,8,,,12,,14
 3312, Steel Products from Purchased Steel,20,,2154,0,*,12,,*,0,0,,,*,,0
 3313, Alumina and Aluminum Production and Processing,56,,4697,0,*,38,,*,0,0,,,*,,0
   331314,   Secondary Smelting and Alloying of Aluminum,9,,218,0,*,8,,*,0,0,,,*,,0
   331315,"   Aluminum Sheet, Plate and Foils",34,,2384,0,*,24,,*,0,0,,,*,,0
   331318,"   Other Aluminum Rolling, Drawing and Extruding",D,,D,0,*,6,,*,0,0,,,*,,0
 3314, Nonferrous Metal (except Aluminum) Production and Processing,21,,1594,0,*,12,,*,0,*,,,*,,0
   331410,   Nonferrous Metal (except Aluminum) Smelting and Refining,1,,113,0,*,1,,*,0,0,,,*,,0
 3315, Foundries,57,,6197,0,*,27,,*,*,*,,,*,,*
   331511,   Iron Foundries,26,,3084,0,*,7,,*,*,*,,,*,,*
   331523,   Nonferrous Metal Die-Casting Foundries,15,,1250,0,*,10,,*,0,0,,,*,,0
   331524,"   Aluminum Foundries, except Die-Casting",4,,377,0,*,3,,*,0,0,,,*,,0
332,Fabricated Metal Products,133,,14197,0,*,79,,1,0,0,,,*,,0
333,Machinery,84,,11916,0,*,39,,*,0,0,,,*,,0
334,Computer and Electronic Products,128,,Q,0,*,5,,*,0,0,,,Q,,0
   334413,   Semiconductors and Related Devices,3,,522,0,*,1,,*,0,0,,,*,,0
335,"Electrical Equipment, Appliances, and Components",28,,3725,0,*,14,,*,0,0,,,*,,0
336,Transportation Equipment,155,,22912,0,*,67,,*,0,0,,,6,,0
